variabletag,dum_vars,IndFlag,Label,Variable,Banner,Attribute,SegType,Type,Drivers,PDomain
S5,S5_r1,1,"Income:Less than $50,000",,Income,"Less than $50,000",Demographic,Income,"Less than $50,000",
S5,S5_r2,1,"Income:$50,000 to less than $75,000",,Income,"$50,000 to less than $75,000",Demographic,Income,"$50,000 to less than $75,000",
S5,S5_r3,1,"Income:$75,000 to less than $100,000",,Income,"$75,000 to less than $100,000",Demographic,Income,"$75,000 to less than $100,000",
S5,S5_r4,1,"Income:$100,000 to less than $150,000",,Income,"$100,000 to less than $150,000",Demographic,Income,"$100,000 to less than $150,000",
S5,S5_r5,1,"Income:$150,000 to less than $250,000",,Income,"$150,000 to less than $250,000",Demographic,Income,"$150,000 to less than $250,000",
S5,S5_r6,1,"Income:$250,000 or more",,Income,"$250,000 or more",Demographic,Income,"$250,000 or more",
S5,S5_r7,1,Income:Prefer not to answer,,Income,Prefer not to answer,Demographic,Income,Prefer not to answer,
Q23,Q23_r1,1,Education:Did Not Complete High School,,Education,Did Not Complete High School,Demographic,Education,Did Not Complete High School,
Q23,Q23_r2,1,Education:High School Graduate,,Education,High School Graduate,Demographic,Education,High School Graduate,
Q23,Q23_r3,1,Education:College Graduate,,Education,College Graduate,Demographic,Education,College Graduate,
Q23,Q23_r4,1,Education:Post Graduate (Masters/PhD),,Education,Post Graduate (Masters/PhD),Demographic,Education,Post Graduate (Masters/PhD),
Q23,Q23_r5,1,Education:Other,,Education,Other,Demographic,Education,Other,
Q24,Q24_r1,1,Employment Status:Full-Time,,Employment Status,Full-Time,Demographic,Employment Status,Full-Time,
Q24,Q24_r2,1,Employment Status:Part-Time,,Employment Status,Part-Time,Demographic,Employment Status,Part-Time,
Q24,Q24_r3,1,Employment Status:Unemployed,,Employment Status,Unemployed,Demographic,Employment Status,Unemployed,
Q25,Q25_r1,1,Number of Jobs:Only 1 Job,,Number of Jobs,Only 1 Job,Demographic,Number of Jobs,Only 1 Job,
Q25,Q25_r2,1,Number of Jobs:2 or More Jobs,,Number of Jobs,2 or More Jobs,Demographic,Number of Jobs,2 or More Jobs,
Q25,Q25_r3,1,Number of Jobs:Not Employed,,Number of Jobs,Not Employed,Demographic,Number of Jobs,Not Employed,
Q26,Q26_r1,1,Type of Work:Desk Job,,Type of Work,Desk Job,Demographic,Type of Work,Desk Job,
Q26,Q26_r2,1,Type of Work:Moderately Physical,,Type of Work,Moderately Physical,Demographic,Type of Work,Moderately Physical,
Q26,Q26_r3,1,Type of Work:Physically Intense,,Type of Work,Physically Intense,Demographic,Type of Work,Physically Intense,
Q26,Q26_r4,1,Type of Work:Not Employed,,Type of Work,Not Employed,Demographic,Type of Work,Not Employed,
Q27,Q27_r1,1,Work Days OOH:0 Days,,Work Days OOH,0 Days,Demographic,Work Days OOH,0 Days,
Q27,Q27_r2,1,Work Days OOH:1-3 Days,,Work Days OOH,1-3 Days,Demographic,Work Days OOH,1-3 Days,
Q27,Q27_r3,1,Work Days OOH:4+ Days,,Work Days OOH,4+ Days,Demographic,Work Days OOH,4+ Days,
Q27,Q27_r4,1,Work Days OOH:Not Employed,,Work Days OOH,Not Employed,Demographic,Work Days OOH,Not Employed,
Q2_C1,Q2_C1_r1,1,Morning:Hot Coffee,,Morning Beverages,Hot Coffee,User Behaviour,Morning Beverages,Hot Coffee,
Q2_C1,Q2_C1_r2,1,Morning:Ready to Drink Cold Brew/Iced Coffee,,Morning Beverages,Ready to Drink Cold Brew/Iced Coffee,User Behaviour,Morning Beverages,Ready to Drink Cold Brew/Iced Coffee,
Q2_C1,Q2_C1_r3,1,Morning:Instant Coffee,,Morning Beverages,Instant Coffee,User Behaviour,Morning Beverages,Instant Coffee,
Q2_C1,Q2_C1_r4,1,Morning:Energy Drink,,Morning Beverages,Energy Drink,User Behaviour,Morning Beverages,Energy Drink,
Q2_C1,Q2_C1_r5,1,Morning:Soda,,Morning Beverages,Soda,User Behaviour,Morning Beverages,Soda,
Q2_C1,Q2_C1_r6,1,Morning:Sports Drink,,Morning Beverages,Sports Drink,User Behaviour,Morning Beverages,Sports Drink,
Q2_C1,Q2_C1_r7,1,Morning:Tea,,Morning Beverages,Tea,User Behaviour,Morning Beverages,Tea,
Q2_C1,Q2_C1_r8,1,Morning:None of the above,,Morning Beverages,None of the above,User Behaviour,Morning Beverages,None of the above,
Q2_C2,Q2_C2_r1,1,Afternoon:Hot Coffee,,Afternoon Beverages,Hot Coffee,User Behaviour,Afternoon Beverages,Hot Coffee,
Q2_C2,Q2_C2_r2,1,Afternoon:Ready to Drink Cold Brew/Iced Coffee,,Afternoon Beverages,Ready to Drink Cold Brew/Iced Coffee,User Behaviour,Afternoon Beverages,Ready to Drink Cold Brew/Iced Coffee,
Q2_C2,Q2_C2_r3,1,Afternoon:Instant Coffee,,Afternoon Beverages,Instant Coffee,User Behaviour,Afternoon Beverages,Instant Coffee,
Q2_C2,Q2_C2_r4,1,Afternoon:Energy Drink,,Afternoon Beverages,Energy Drink,User Behaviour,Afternoon Beverages,Energy Drink,
Q2_C2,Q2_C2_r5,1,Afternoon:Soda,,Afternoon Beverages,Soda,User Behaviour,Afternoon Beverages,Soda,
Q2_C2,Q2_C2_r6,1,Afternoon:Sports Drink,,Afternoon Beverages,Sports Drink,User Behaviour,Afternoon Beverages,Sports Drink,
Q2_C2,Q2_C2_r7,1,Afternoon:Tea,,Afternoon Beverages,Tea,User Behaviour,Afternoon Beverages,Tea,
Q2_C2,Q2_C2_r8,1,Afternoon:None of the above,,Afternoon Beverages,None of the above,User Behaviour,Afternoon Beverages,None of the above,
Q2_C3,Q2_C3_r1,1,Evening:Hot Coffee,,Evening Beverages,Hot Coffee,User Behaviour,Evening Beverages,Hot Coffee,
Q2_C3,Q2_C3_r2,1,Evening:Ready to Drink Cold Brew/Iced Coffee,,Evening Beverages,Ready to Drink Cold Brew/Iced Coffee,User Behaviour,Evening Beverages,Ready to Drink Cold Brew/Iced Coffee,
Q2_C3,Q2_C3_r3,1,Evening:Instant Coffee,,Evening Beverages,Instant Coffee,User Behaviour,Evening Beverages,Instant Coffee,
Q2_C3,Q2_C3_r4,1,Evening:Energy Drink,,Evening Beverages,Energy Drink,User Behaviour,Evening Beverages,Energy Drink,
Q2_C3,Q2_C3_r5,1,Evening:Soda,,Evening Beverages,Soda,User Behaviour,Evening Beverages,Soda,
Q2_C3,Q2_C3_r6,1,Evening:Sports Drink,,Evening Beverages,Sports Drink,User Behaviour,Evening Beverages,Sports Drink,
Q2_C3,Q2_C3_r7,1,Evening:Tea,,Evening Beverages,Tea,User Behaviour,Evening Beverages,Tea,
Q2_C3,Q2_C3_r8,1,Evening:None of the above,,Evening Beverages,None of the above,User Behaviour,Evening Beverages,None of the above,
Q4,Q4_r1,1,Caffeinated:Caffeinated,,Caffeinated,Caffeinated,Product,Caffeinated,Caffeinated,
Q4,Q4_r2,1,Caffeinated:Decaf,,Caffeinated,Decaf,Product,Caffeinated,Decaf,
Q6,Q6_r1,1,Weekday/Weekend:Weekday,,Weekday/Weekend,Weekday (M-F),User Behaviour,Weekday/Weekend,Weekday (M-F),
Q6,Q6_r2,1,Weekday/Weekend:Weekend,,Weekday/Weekend,Weekend (S-S),User Behaviour,Weekday/Weekend,Weekend (S-S),
Q8,Q8_r1,1,With Who:Alone,,With Who,Alone,User Behaviour,With Who,Alone,
Q8,Q8_r2,1,With Who:Spouse/Partner,,With Who,Spouse/Partner,User Behaviour,With Who,Spouse/Partner,
Q8,Q8_r3,1,With Who:Co-worker/Friend,,With Who,Co-worker/Friend,User Behaviour,With Who,Co-worker/Friend,
Q8,Q8_r4,1,With Who:Other,,With Who,Other,User Behaviour,With Who,Other,
Q9,Q9_r1,1,Category:Whole Bean Coffee,,Category,Whole Bean Coffee,Product,Category,Whole Bean Coffee,
Q9,Q9_r2,1,Category:Ground Coffee,,Category,Ground Coffee,Product,Category,Ground Coffee,
Q9,Q9_r3,1,Category:Coffee Pod or Capsule,,Category,Coffee Pod or Capsule,Product,Category,Coffee Pod or Capsule,
Q10,Q10_r1,1,Needs:It wakes me up,,Needs,It wakes me up,Needs/Benefits,Needs,It wakes me up,
Q10,Q10_r2,1,Needs:It helps me focus,,Needs,It helps me focus,Needs/Benefits,Needs,It helps me focus,
Q10,Q10_r3,1,Needs:It's not for faint of heart,,Needs,It's not for faint of heart,Needs/Benefits,Needs,It's not for faint of heart,
Q10,Q10_r4,1,Needs:It boosts my energy,,Needs,It boosts my energy,Needs/Benefits,Needs,It boosts my energy,
Q10,Q10_r5,1,Needs:It's drinkable,,Needs,It's drinkable,Needs/Benefits,Needs,It's drinkable,
Q10,Q10_r6,1,Needs:It's for high caffeinne drinkers,,Needs,It's for high caffeinne drinkers,Needs/Benefits,Needs,It's for high caffeinne drinkers,
Q10,Q10_r7,1,Needs:It bannishes my energy slump,,Needs,It bannishes my energy slump,Needs/Benefits,Needs,It bannishes my energy slump,
Q10,Q10_r8,1,Needs:It helps me stay up late for work,,Needs,It helps me stay up late for work,Needs/Benefits,Needs,It helps me stay up late for work,
Q10,Q10_r9,1,Needs:It's strong enough to wake the dead,,Needs,It's strong enough to wake the dead,Needs/Benefits,Needs,It's strong enough to wake the dead,
Q10,Q10_r10,1,Needs:It offers jolt of energy,,Needs,It offers jolt of energy,Needs/Benefits,Needs,It offers jolt of energy,
Q10,Q10_r11,1,Needs:It has perfect caffiene level,,Needs,It has perfect caffiene level,Needs/Benefits,Needs,It has perfect caffiene level,
Q10,Q10_r12,1,Needs:It's soothing & comforting,,Needs,It's soothing & comforting,Needs/Benefits,Needs,It's soothing & comforting,
Q10,Q10_r13,1,Needs:It's refreshing,,Needs,It's refreshing,Needs/Benefits,Needs,It's refreshing,
Q10,Q10_r14,1,Needs:It's worth paying for,,Needs,It's worth paying for,Needs/Benefits,Needs,It's worth paying for,
Q10,Q10_r15,1,Needs:It helps me lose weight,,Needs,It helps me lose weight,Needs/Benefits,Needs,It helps me lose weight,
Q10,Q10_r16,1,Needs:It helps me reduce stress,,Needs,It helps me reduce stress,Needs/Benefits,Needs,It helps me reduce stress,
Q10,Q10_r17,1,Needs:It gives me energy to start my day,,Needs,It gives me energy to start my day,Needs/Benefits,Needs,It gives me energy to start my day,
Q10,Q10_r18,1,Needs:It’s the aroma that gets me going,,Needs,It’s the aroma that gets me going,Needs/Benefits,Needs,It’s the aroma that gets me going,
Q10,Q10_r19,1,Needs:It helps my mental well being,,Needs,It helps my mental well being,Needs/Benefits,Needs,It helps my mental well being,
Q10,Q10_r20,1,Needs:It's great for socializing,,Needs,It's great for socializing,Needs/Benefits,Needs,It's great for socializing,
Q10,Q10_r21,1,Needs:It's great for a moment for myself,,Needs,It's great for a moment for myself,Needs/Benefits,Needs,It's great for a moment for myself,
Q10,Q10_r22,1,Needs:It helps me to have a moment for myself,,Needs,It helps me to have a moment for myself,Needs/Benefits,Needs,It helps me to have a moment for myself,
Q10,Q10_r23,1,Needs:Its a treat,,Needs,Its a treat,Needs/Benefits,Needs,Its a treat,
Q10,Q10_r24,1,Needs:It helps me exercise,,Needs,It helps me exercise,Needs/Benefits,Needs,It helps me exercise,
Q10,Q10_r25,1,Needs:It's warm & cozy,,Needs,It's warm & cozy,Needs/Benefits,Needs,It's warm & cozy,
Q10,Q10_r26,1,Needs:It's a break from boredom,,Needs,It's a break from boredom,Needs/Benefits,Needs,It's a break from boredom,
Q10,Q10_r27,1,Needs:It's a pick-me-up,,Needs,It's a pick-me-up,Needs/Benefits,Needs,It's a pick-me-up,
Q11,Q11_r1,1,Brand:Black Rifle,,Brand,Black Rifle,Product,Brand,Black Rifle,
Q11,Q11_r2,1,Brand:Bullet Proof,,Brand,Bullet Proof,Product,Brand,Bullet Proof,
Q11,Q11_r3,1,Brand:Death Wish Coffee,,Brand,Death Wish Coffee,Product,Brand,Death Wish Coffee,
Q11,Q11_r4,1,Brand:Dunkin',,Brand,Dunkin,Product,Brand,Dunkin,
Q11,Q11_r5,1,Brand:Maxwell House,,Brand,Maxwell House,Product,Brand,Maxwell House,
Q11,Q11_r6,1,Brand:Green Mountain,,Brand,Green Mountain,Product,Brand,Green Mountain,
Q11,Q11_r7,1,Brand:Folgers,,Brand,Folgers,Product,Brand,Folgers,
Q11,Q11_r8,1,Brand:Peet's,,Brand,Peet's,Product,Brand,Peets,
Q11,Q11_r9,1,Brand:Starbucks,,Brand,Starbucks,Product,Brand,Starbucks,
Q11,Q11_r10,1,Brand:McCafe,,Brand,McCafe,Product,Brand,McCafe,
Q11,Q11_r11,1,Brand:Vallahala Java,,Brand,Vallahala Java,Product,Brand,Vallahala Java,
Q11,Q11_r12,1,Brand:Store Brand/Private Label,,Brand,Store Brand/Private Label,Product,Brand,Store Brand/Private Label,
Q11,Q11_r13,1,Brand:Other,,Brand,Other,Product,Brand,Other,
Q12,Q12_r1,1,Benefits:I want world's strongest coffee,,Benefits,I want world's strongest coffee,Needs/Benefits,Benefits,I want world's strongest coffee,
Q12,Q12_r2,1,Benefits:I want the intensity of this brand,,Benefits,I want the intensity of this brand,Needs/Benefits,Benefits,I want the intensity of this brand,
Q12,Q12_r3,1,Benefits:I crave for its taste,,Benefits,I crave for its taste,Needs/Benefits,Benefits,I crave for its taste,
Q12,Q12_r4,1,Benefits:I want a coffee that is café tasting,,Benefits,I want a coffee that is café tasting,Needs/Benefits,Benefits,I want a coffee that is café tasting,
Q12,Q12_r5,1,Benefits:I want the health benefits it provides,,Benefits,I want the health benefits it provides,Needs/Benefits,Benefits,I want the health benefits it provides,
Q12,Q12_r6,1,Benefits:It's a premium brand,,Benefits,It's a premium brand,Needs/Benefits,Benefits,It's a premium brand,
Q12,Q12_r7,1,Benefits:It's a high quality brand,,Benefits,It's a high quality brand,Needs/Benefits,Benefits,It's a high quality brand,
Q12,Q12_r8,1,Benefits:I want the smooth tasting coffee,,Benefits,I want the smooth tasting coffee,Needs/Benefits,Benefits,I want the smooth tasting coffee,
Q12,Q12_r9,1,Benefits:I like the after taste,,Benefits,I like the after taste,Needs/Benefits,Benefits,I like the after taste,
Q12,Q12_r10,1,Benefits:It has a reliable taste,,Benefits,It has a reliable taste,Needs/Benefits,Benefits,It has a reliable taste,
Q12,Q12_r11,1,Benefits:It doesn’t cause jitters,,Benefits,It doesn’t cause jitters,Needs/Benefits,Benefits,It doesn’t cause jitters,
Q12,Q12_r12,1,Benefits:It's brand name is appealing,,Benefits,It's brand name is appealing,Needs/Benefits,Benefits,It's brand name is appealing,
Q12,Q12_r13,1,Benefits:It awakens my inner rebel,,Benefits,It awakens my inner rebel,Needs/Benefits,Benefits,It awakens my inner rebel,
Q12,Q12_r14,1,Benefits:I feel passionate about the brand,,Benefits,I feel passionate about the brand,Needs/Benefits,Benefits,I feel passionate about the brand,
Q12,Q12_r15,1,Benefits:It has the bolder taste I am looking for,,Benefits,It has the bolder taste I am looking for,Needs/Benefits,Benefits,It has the bolder taste I am looking for,
Q12,Q12_r16,1,Benefits:It has good aroma,,Benefits,It has good aroma,Needs/Benefits,Benefits,It has good aroma,
Q12,Q12_r17,1,Benefits:It's mild tasting,,Benefits,It's mild tasting,Needs/Benefits,Benefits,It's mild tasting,
Q12,Q12_r18,1,Benefits:It comes in different flavors,,Benefits,It comes in different flavors,Needs/Benefits,Benefits,It comes in different flavors,
Q12,Q12_r19,1,Benefits:It's manufactured locally,,Benefits,It's manufactured locally,Needs/Benefits,Benefits,It's manufactured locally,
Q12,Q12_r20,1,Benefits:It has premium packaging,,Benefits,It has premium packaging,Needs/Benefits,Benefits,It has premium packaging,
Q12,Q12_r21,1,Benefits:I enjoy the experience,,Benefits,I enjoy the experience,Needs/Benefits,Benefits,I enjoy the experience,
Q12,Q12_r22,1,Benefits:It fits my lifestyle,,Benefits,It fits my lifestyle,Needs/Benefits,Benefits,It fits my lifestyle,
Q12,Q12_r23,1,Benefits:The brand helps me impress my friends,,Benefits,The brand helps me impress my friends,Needs/Benefits,Benefits,The brand helps me impress my friends,
Q12,Q12_r24,1,Benefits:It's fun to drink,,Benefits,It's fun to drink,Needs/Benefits,Benefits,It's fun to drink,
Q12,Q12_r25,1,Benefits:It makes me feel adventurous,,Benefits,It makes me feel adventurous,Needs/Benefits,Benefits,It makes me feel adventurous,
Q12,Q12_r26,1,Benefits:It fuels my passion,,Benefits,It fuels my passion,Needs/Benefits,Benefits,It fuels my passion,
Q12,Q12_r27,1,Benefits:It has sensorial appeal,,Benefits,It has sensorial appeal,Needs/Benefits,Benefits,It has sensorial appeal,
Q12,Q12_r28,1,Benefits:It's an edgy brand,,Benefits,It's an edgy brand,Needs/Benefits,Benefits,It's an edgy brand,
Q12,Q12_r29,1,Benefits:It appeals to my senses,,Benefits,It appeals to my senses,Needs/Benefits,Benefits,It appeals to my senses,
Q12,Q12_r30,1,Benefits:It has rebel packaging,,Benefits,It has rebel packaging,Needs/Benefits,Benefits,It has rebel packaging,
Q12,Q12_r31,1,Benefits:It's a brand for people like me,,Benefits,It's a brand for people like me,Needs/Benefits,Benefits,It's a brand for people like me,
Q13,Q13_r1,1,Product Attributes:It's socially responsible brand,,Product Attributes,It's socially responsible brand,Product,Product Attributes,It's socially responsible brand,
Q13,Q13_r2,1,Product Attributes:It doesn’t cause heartburn,,Product Attributes,It doesn’t cause heartburn,Product,Product Attributes,It doesn’t cause heartburn,
Q13,Q13_r3,1,Product Attributes:It's delicious,,Product Attributes,It's delicious,Product,Product Attributes,It's delicious,
Q13,Q13_r4,1,Product Attributes:It's rich,,Product Attributes,It's rich,Product,Product Attributes,It's rich,
Q13,Q13_r5,1,Product Attributes:It's smooth,,Product Attributes,It's smooth,Product,Product Attributes,It's smooth,
Q13,Q13_r6,1,Product Attributes:It's bold,,Product Attributes,It's bold,Product,Product Attributes,It's bold,
Q13,Q13_r7,1,Product Attributes:It's sweet,,Product Attributes,It's sweet,Product,Product Attributes,It's sweet,
Q13,Q13_r8,1,Product Attributes:It's single origin,,Product Attributes,It's single origin,Product,Product Attributes,It's single origin,
Q13,Q13_r9,1,Product Attributes:It's not bitter,,Product Attributes,It's not bitter,Product,Product Attributes,It's not bitter,
Q13,Q13_r10,1,Product Attributes:It's strong,,Product Attributes,It's strong,Product,Product Attributes,It's strong,
Q13,Q13_r11,1,Product Attributes:It's sustainable,,Product Attributes,It's sustainable,Product,Product Attributes,It's sustainable,
Q13,Q13_r12,1,Product Attributes:It has a rare blend of beans,,Product Attributes,It has a rare blend of beans,Product,Product Attributes,It has a rare blend of beans,
Q13,Q13_r13,1,Product Attributes:It's convenient to make,,Product Attributes,It's convenient to make,Product,Product Attributes,It's convenient to make,
Q13,Q13_r14,1,Product Attributes:It's country of origin is exotic,,Product Attributes,It's country of origin is exotic,Product,Product Attributes,It's country of origin is exotic,
Q13,Q13_r15,1,Product Attributes:It's quick to make,,Product Attributes,It's quick to make,Product,Product Attributes,It's quick to make,
Q13,Q13_r16,1,Product Attributes:It's 100% Robusta,,Product Attributes,It's 100% Robusta,Product,Product Attributes,It's 100% Robusta,
Q13,Q13_r17,1,Product Attributes:It's 100% Arabica,,Product Attributes,It's 100% Arabica,Product,Product Attributes,It's 100% Arabica,
Q13,Q13_r18,1,Product Attributes:It's easy to make,,Product Attributes,It's easy to make,Product,Product Attributes,It's easy to make,
Q13,Q13_r19,1,Product Attributes:It's package is resealable,,Product Attributes,It's package is resealable,Product,Product Attributes,It's package is resealable,
Q13,Q13_r20,1,Product Attributes:It's package keeps the product fresh,,Product Attributes,It's package keeps the product fresh,Product,Product Attributes,It's package keeps the product fresh,
Q13,Q13_r21,1,Product Attributes:It's affordable,,Product Attributes,It's affordable,Product,Product Attributes,It's affordable,
Q14,Q14_r1,1,Purchased:Purchased,,Purchased,Purchased,User Behaviour,Purchased,Purchased,
Q14,Q14_r2,1,Purchased:Did Not Purchase,,Purchased,Did Not Purchase,User Behaviour,Purchased,Did Not Purchase,
Q15,Q15_r1,1,Roast:Light,,Roast,Light,Product,Roast,Light,
Q15,Q15_r2,1,Roast:Medium,,Roast,Medium,Product,Roast,Medium,
Q15,Q15_r3,1,Roast:Dark,,Roast,Dark,Product,Roast,Dark,
Q15,Q15_r4,1,Roast:Classic,,Roast,Classic,Product,Roast,Classic,
Q15,Q15_r5,1,Roast:Other,,Roast,Other,Product,Roast,Other,
Q15,Q15_r6,1,Roast:Did not purchase,,Roast,Did not purchase,Product,Roast,Did not purchase,
Q16,Q16_r1,1,Flavor:Vanilla,,Flavor,Vanilla,Product,Flavor,Vanilla,
Q16,Q16_r2,1,Flavor:Chocolate,,Flavor,Chocolate,Product,Flavor,Chocolate,
Q16,Q16_r3,1,Flavor:Caramel,,Flavor,Caramel,Product,Flavor,Caramel,
Q16,Q16_r4,1,Flavor:Nut Flavor,,Flavor,Nut Flavor,Product,Flavor,Nut Flavor,
Q16,Q16_r5,1,Flavor:Fruit Flavor,,Flavor,Fruit Flavor,Product,Flavor,Fruit Flavor,
Q16,Q16_r6,1,Flavor:Regular,,Flavor,Regular,Product,Flavor,Regular,
Q16,Q16_r7,1,Flavor:Unflavored,,Flavor,Unflavored,Product,Flavor,Unflavored,
Q16,Q16_r8,1,Flavor:Original,,Flavor,Original,Product,Flavor,Original,
Q16,Q16_r9,1,Flavor:Other,,Flavor,Other,Product,Flavor,Other,
Q16,Q16_r10,1,Flavor:Did not purchase,,Flavor,Did not purchase,Product,Flavor,Did not purchase,
Q17,Q17_r1,1,"Channel:Club Store (Costco, Sam's Club, etc.)",,Channel,"Club Store (Costco, Sam's Club, etc.)",Shopper Behavior,Channel,"Club Store (Costco, Sam's Club, etc.)",
Q17,Q17_r2,1,Channel:Coffee brand's website,,Channel,Coffee brand's website,Shopper Behavior,Channel,Coffee brand's website,
Q17,Q17_r3,1,Channel:Convenience Store,,Channel,Convenience Store,Shopper Behavior,Channel,Convenience Store,
Q17,Q17_r4,1,Channel:Drug Store,,Channel,Drug Store,Shopper Behavior,Channel,Drug Store,
Q17,Q17_r5,1,Channel:Grocery Store,,Channel,Grocery Store,Shopper Behavior,Channel,Grocery Store,
Q17,Q17_r6,1,"Channel:Online Retailer (Amazon.com, Walmart.com, etc.)",,Channel,"Online Retailer (Amazon.com, Walmart.com, etc.)",Shopper Behavior,Channel,"Online Retailer (Amazon.com, Walmart.com, etc.)",
Q17,Q17_r7,1,"Channel:Coffee branded café (Starbucks café, etc.)",,Channel,"Coffee branded café (Starbucks café, etc.)",Shopper Behavior,Channel,"Coffee branded café (Starbucks café, etc.)",
Q17,Q17_r8,1,Channel:Neighborhood Café,,Channel,Neighborhood Café,Shopper Behavior,Channel,Neighborhood Café,
Q17,Q17_r9,1,"Channel:Supermarket (Walmart, Target, etc.)",,Channel,"Supermarket (Walmart, Target, etc.)",Shopper Behavior,Channel,"Supermarket (Walmart, Target, etc.)",
Q17,Q17_r10,1,Channel:Other,,Channel,Other,Shopper Behavior,Channel,Other,
Q17,Q17_r11,1,Channel:Did not purchase,,Channel,Did not purchase,Shopper Behavior,Channel,Did not purchase,
Q18,Q18_r1,,Key Purchase Criteria:It's available where I usually shop,,Key Purchase Criteria,It's available where I usually shop,Needs/Benefits,Key Purchase Criteria,It's available where I usually shop,
Q18,Q18_r2,,Key Purchase Criteria:It's on the go for me,,Key Purchase Criteria,It's on the go for me,Needs/Benefits,Key Purchase Criteria,It's on the go for me,
Q18,Q18_r3,,Key Purchase Criteria:It was on sale/discount,,Key Purchase Criteria,It was on sale/discount,Needs/Benefits,Key Purchase Criteria,It was on sale/discount,
Q18,Q18_r4,,Key Purchase Criteria:It has an attractive brand name,,Key Purchase Criteria,It has an attractive brand name,Needs/Benefits,Key Purchase Criteria,It has an attractive brand name,
Q18,Q18_r5,,Key Purchase Criteria:It's online advertising influenced me,,Key Purchase Criteria,It's online advertising influenced me,Needs/Benefits,Key Purchase Criteria,It's online advertising influenced me,
Q18,Q18_r6,,Key Purchase Criteria:It's TV advertising influenced me,,Key Purchase Criteria,It's TV advertising influenced me,Needs/Benefits,Key Purchase Criteria,It's TV advertising influenced me,
Q18,Q18_r7,,Key Purchase Criteria:It's good value for money,,Key Purchase Criteria,It's good value for money,Needs/Benefits,Key Purchase Criteria,It's good value for money,
Q18,Q18_r8,,Key Purchase Criteria:It's label was attractive,,Key Purchase Criteria,It's label was attractive,Needs/Benefits,Key Purchase Criteria,It's label was attractive,
Q18,Q18_r9,,Key Purchase Criteria:Offers money-back guarantee,,Key Purchase Criteria,Offers money-back guarantee,Needs/Benefits,Key Purchase Criteria,Offers money-back guarantee,
Q18,Q18_r10,,Key Purchase Criteria:It had a convenient size,,Key Purchase Criteria,It had a convenient size,Needs/Benefits,Key Purchase Criteria,It had a convenient size,
Q18,Q18_r11,,Key Purchase Criteria:It had convenient packaging,,Key Purchase Criteria,It had convenient packaging,Needs/Benefits,Key Purchase Criteria,It had convenient packaging,
Q18,Q18_r12,,Key Purchase Criteria:It's packaging is attractive,,Key Purchase Criteria,It's packaging is attractive,Needs/Benefits,Key Purchase Criteria,It's packaging is attractive,
Q18,Q18_r13,,Key Purchase Criteria:It comes in variety of flavors,,Key Purchase Criteria,It comes in variety of flavors,Needs/Benefits,Key Purchase Criteria,It comes in variety of flavors,
Q18,Q18_r14,,Key Purchase Criteria:It's fair trade and organic,,Key Purchase Criteria,It's fair trade and organic,Needs/Benefits,Key Purchase Criteria,It's fair trade and organic,
Q18,Q18_r15,,Key Purchase Criteria:I loved the logo/label,,Key Purchase Criteria,I loved the logo/label,Needs/Benefits,Key Purchase Criteria,I loved the logo/label,
Q18,Q18_r16,,Key Purchase Criteria:I can identify with the brand,,Key Purchase Criteria,I can identify with the brand,Needs/Benefits,Key Purchase Criteria,I can identify with the brand,
